N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.88,82.00,6.50,202.94,rice
85,58,41,21.77,80.32,7.04,226.66,rice
60,55,44,23.00,82.32,7.84,263.96,rice
74,35,40,26.49,80.16,6.98,242.86,rice
78,42,42,20.13,81.60,7.63,262.72,rice
69,35,42,23.69,83.00,6.99,251.05,rice
80,38,42,21.44,82.89,6.99,271.32,rice
93,40,38,20.10,80.25,6.54,204.95,rice
89,35,38,23.29,80.30,6.97,244.01,rice
95,38,40,23.76,81.33,7.08,230.45,rice
21,46,19,20.88,80.07,5.94,200.90,maize
24,55,22,21.77,80.32,6.22,226.66,maize
18,50,20,23.00,82.32,6.87,263.96,maize
27,45,21,26.49,80.16,6.54,242.86,maize
32,48,24,20.13,81.60,6.31,262.72,maize
25,42,18,23.69,83.00,6.75,251.05,maize
30,40,20,21.44,82.89,6.48,271.32,maize
19,44,23,20.10,80.25,6.61,204.95,maize
28,50,19,23.29,80.30,6.72,244.01,maize
23,47,21,23.76,81.33,6.58,230.45,maize
45,60,25,26.50,65.00,6.40,90.00,cotton
40,55,20,27.00,70.00,6.20,100.00,cotton
50,50,30,28.00,72.00,6.80,110.00,cotton
35,58,24,25.50,68.00,6.50,95.00,cotton
55,62,28,29.00,75.00,7.00,120.00,cotton
42,57,27,26.20,66.00,6.70,105.00,cotton
48,53,22,27.50,69.00,6.30,115.00,cotton
52,60,25,28.20,71.00,6.60,108.00,cotton
38,52,21,25.80,67.00,6.40,92.00,cotton
47,59,29,28.50,73.00,6.90,118.00,cotton
20,40,20,25.00,70.00,6.00,80.00,groundnut
25,45,22,26.00,72.00,6.20,90.00,groundnut
18,38,19,24.00,68.00,5.80,85.00,groundnut
30,50,25,27.00,75.00,6.50,95.00,groundnut
22,42,21,25.50,71.00,6.10,88.00,groundnut
28,47,24,26.50,73.00,6.30,92.00,groundnut
19,44,20,24.50,69.00,5.90,82.00,groundnut
26,41,23,27.50,76.00,6.40,98.00,groundnut
24,49,22,25.80,74.00,6.20,91.00,groundnut
21,43,19,24.80,70.00,6.00,86.00,groundnut
40,60,40,18.00,65.00,6.50,60.00,wheat
45,55,38,19.00,68.00,6.80,65.00,wheat
38,58,42,17.50,63.00,6.30,55.00,wheat
50,62,45,20.00,70.00,7.00,70.00,wheat
42,57,39,18.50,66.00,6.60,62.00,wheat
47,64,43,19.50,69.00,6.90,68.00,wheat
35,52,37,17.00,61.00,6.20,52.00,wheat
44,59,41,18.80,67.00,6.70,64.00,wheat
49,61,44,20.20,71.00,7.10,72.00,wheat
37,54,36,16.80,60.00,6.40,50.00,wheat
20,30,20,24.00,60.00,6.00,50.00,chickpea
25,35,22,23.00,65.00,6.20,55.00,chickpea
18,28,18,22.00,58.00,5.80,48.00,chickpea
30,40,25,25.00,67.00,6.50,60.00,chickpea
22,32,19,21.50,62.00,6.10,52.00,chickpea
27,37,23,24.50,64.00,6.40,57.00,chickpea
19,31,17,22.50,59.00,5.90,49.00,chickpea
24,34,21,23.50,63.00,6.30,54.00,chickpea
29,39,24,25.50,66.00,6.60,61.00,chickpea
21,33,20,22.80,61.00,6.00,51.00,chickpea
15,35,15,26.00,75.00,6.20,100.00,millet
18,40,18,27.00,78.00,6.50,110.00,millet
12,30,14,25.00,70.00,5.90,90.00,millet
22,42,20,28.00,80.00,6.70,120.00,millet
16,37,16,26.50,76.00,6.30,105.00,millet
20,39,19,27.50,79.00,6.60,115.00,millet
14,33,13,24.50,72.00,6.00,95.00,millet
19,36,17,28.50,81.00,6.80,125.00,millet
17,41,18,26.80,77.00,6.40,108.00,millet
13,32,15,25.50,74.00,6.10,98.00,millet
